gwu2028class,-1,-1,-1,2691,2921,196,-2922
wmu2028class,-1,-1,-1,2189,2459,130,-2460
villanova2028class,-1,-1,-1,504,1290,220,-1291
cornell2028class,-1,-1,-1,682,1993,344,-1994
ksu2028owls,-1,-1,-1,102,384,179,-385
northwestern2028class,-1,-1,-1,1017,2657,343,-2658
txst2028class,-1,-1,-1,2387,2999,46,-3000
vcu2028class,-1,-1,-1,568,1196,232,-1197
csu2028class,-1,-1,-1,3216,4023,273,-4024
dayton2028class,-1,-1,-1,1785,2086,15,-2087
unt2028class,-1,-1,-1,1963,2876,677,-2877
uncg2028,-1,-1,-1,1847,2274,225,-2275
unf2028,-1,-1,-1,1298,1762,41,-1763
marquette2028class,-1,-1,-1,1829,2277,116,-2278
centralmichigan2028class,-1,-1,-1,1171,1895,191,-1896
jmu2028meet,-1,-1,-1,2201,2258,304,-2259
upenn2028class,-1,-1,-1,471,2454,310,-2455
american2028bios,-1,-1,-1,1969,2006,115,-2007
ulmonroe2028,-1,-1,-1,340,957,232,-958
unm2028,-1,-1,-1,452,1026,31,-1027
uco2028class,-1,-1,-1,6,117,44,-118
missstate2028,-1,-1,-1,205,676,640,-677
utrgv2027,-1,-1,-1,-1,-1,-1,0
uwg2028,-1,-1,-1,442,997,19,-998
tns2028,-1,-1,-1,694,857,49,-858
wichitastate2028,-1,-1,-1,100,348,38,-349
utoledo2028bios,-1,-1,-1,713,1307,84,-1308
uni2028class,-1,-1,-1,103,369,35,-370
angelostate2028class,-1,-1,-1,164,467,43,-468
sdstate2028,-1,-1,-1,213,568,428,-569
utep2027,-1,-1,-1,-1,-1,-1,0
southernutah2028,-1,-1,-1,172,424,55,-425
southernmiss2028class,-1,-1,-1,470,1025,101,-1026
sfsu2028class,-1,-1,-1,1469,1550,76,-1551
wwu2028bios,-1,-1,-1,2150,1917,69,-1918
unr2028class,-1,-1,-1,981,3786,120,-3787
emu2028class,-1,-1,-1,799,1083,63,-1084
cwu2028,-1,-1,-1,483,717,17,-718
ndsu2028class,-1,-1,-1,732,1374,212,-1375
fiu2028class,-1,-1,-1,1749,4180,519,-4181
uwf2028,-1,-1,-1,252,697,44,-698
umassboston2028,-1,-1,-1,1314,1610,176,-1611
uoft2027bios,-1,-1,-1,80,359,1287,-360
southeastern2028,-1,-1,-1,319,1059,88,-1060
austinpeay2028,-1,-1,-1,263,799,153,-800
umaine2028,-1,-1,-1,-1,-1,-1,0
umiami2028meet,-1,-1,-1,110,374,428,-375
baylor2028class,-1,-1,-1,60,291,413,-292
uww2028,-1,-1,-1,30,117,96,-118
washu2028class,-1,-1,-1,230,615,32,-616
uwrf2028,-1,-1,-1,265,524,8,-525
sbu2028class,-1,-1,-1,797,1460,56,-1461
fau2028bios,-1,-1,-1,122,283,316,-284
nau2028bios,-1,-1,-1,6,52,137,-53
ccu2028class,-1,-1,-1,388,706,104,-707
radford2028class,-1,-1,-1,20,132,124,-133
barry2028class,-1,-1,-1,167,297,88,-298
uab2028bios,-1,-1,-1,560,997,118,-998
duke2028meet,-1,-1,-1,17,282,367,-283
vanderbilt2028class,-1,-1,-1,465,1566,289,-1567
uic2028class,-1,-1,-1,135,424,89,-425
gcu2028class,-1,-1,-1,238,542,220,-543
etsu2028,-1,-1,-1,404,876,101,-877
newhaven2028,-1,-1,-1,565,1019,82,-1020
und2028class,-1,-1,-1,20,122,69,-123
wpi2028class,-1,-1,-1,11,132,144,-133
rit2028tigers,-1,-1,-1,810,1666,42,-1667
fgcu2028bios,-1,-1,-1,210,350,133,-351
uhmanoa2028class,-1,-1,-1,443,864,51,-865
nsu2028class,-1,-1,-1,1053,1532,200,-1533
nmu2028,-1,-1,-1,557,908,179,-909
astate2028class,-1,-1,-1,16,108,162,-109
ncstate2028,-1,-1,-1,218,464,115,-465
sju2028class,-1,-1,-1,473,851,158,-852
daytonastate2028,-1,-1,-1,36,109,14,-110
shsu2028class,-1,-1,-1,348,865,264,-866
lsu2028meet,-1,-1,-1,100,186,243,-187
unomaha2028,-1,-1,-1,207,507,64,-508
idahostateu2028,-1,-1,-1,27,119,51,-120
troy2028class,-1,-1,-1,8,122,196,-123
mnsu2028,-1,-1,-1,861,1398,50,-1399
snhu2028,108,334,19,108,334,19,0
uwsp2028,-1,-1,-1,40,181,120,-182
usu2028class,-1,-1,-1,362,913,151,-914
